[kroA100.tsp] run 10/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.6s ETA=00:07:50
[kroA100.tsp] run 11/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.7s ETA=00:07:27
[kroA100.tsp] run 12/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.5s ETA=00:07:03
[kroA100.tsp] run 13/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.6s ETA=00:06:40
[kroA100.tsp] run 14/30 | best= 21305 | mean=21283.64 std=  5.92 | t= 23.6s ETA=00:06:16
[kroA100.tsp] run 15/30 | best= 21282 | mean=21283.53 std=  5.74 | t= 23.0s ETA=00:05:52
[kroA100.tsp] run 16/30 | best= 21282 | mean=21283.44 std=  5.57 | t= 23.5s ETA=00:05:29
[kroA100.tsp] run 17/30 | best= 21282 | mean=21283.35 std=  5.41 | t= 23.2s ETA=00:05:05
[kroA100.tsp] run 18/30 | best= 21282 | mean=21283.28 std=  5.27 | t= 23.4s ETA=00:04:41
[kroA100.tsp] run 19/30 | best= 21282 | mean=21283.21 std=  5.14 | t= 23.8s ETA=00:04:18
[kroA100.tsp] run 20/30 | best= 21282 | mean=21283.15 std=  5.01 | t= 23.4s ETA=00:03:55
[kroA100.tsp] run 21/30 | best= 21282 | mean=21283.10 std=  4.90 | t= 23.6s ETA=00:03:31
[kroA100.tsp] run 22/30 | best= 21282 | mean=21283.05 std=  4.79 | t= 23.3s ETA=00:03:07
[kroA100.tsp] run 23/30 | best= 21282 | mean=21283.00 std=  4.69 | t= 23.3s ETA=00:02:44
[kroA100.tsp] run 24/30 | best= 21282 | mean=21282.96 std=  4.60 | t= 23.5s ETA=00:02:20
[kroA100.tsp] run 25/30 | best= 21282 | mean=21282.92 std=  4.51 | t= 23.4s ETA=00:01:57
[kroA100.tsp] run 26/30 | best= 21282 | mean=21282.88 std=  4.42 | t= 23.3s ETA=00:01:33
[kroA100.tsp] run 27/30 | best= 21282 | mean=21282.85 std=  4.34 | t= 23.4s ETA=00:01:10
[kroA100.tsp] run 28/30 | best= 21317 | mean=21284.07 std=  7.64 | t= 23.5s ETA=00:00:46
[kroA100.tsp] run 29/30 | best= 21282 | mean=21284.00 std=  7.52 | t= 23.2s ETA=00:00:23
[kroA100.tsp] run 30/30 | best= 21282 | mean=21283.93 std=  7.40 | t= 23.6s ETA=00:00:00
>> kroA100.tsp: avg=21283.93, std=7.40

>>> kroC100.tsp (n=100) | resume from run 0/30
[kroC100.tsp] run  1/30 | best= 20749 | mean=20749.00 std=  0.00 | t= 23.7s ETA=00:11:27
[kroC100.tsp] run  2/30 | best= 20769 | mean=20759.00 std= 10.00 | t= 23.5s ETA=00:11:01
[kroC100.tsp] run  3/30 | best= 20819 | mean=20779.00 std= 29.44 | t= 23.7s ETA=00:10:38
[kroC100.tsp] run  4/30 | best= 20915 | mean=20813.00 std= 64.17 | t= 24.0s ETA=00:10:17
[kroC100.tsp] run  5/30 | best= 20749 | mean=20800.20 std= 62.85 | t= 24.1s ETA=00:09:55
[kroC100.tsp] run  6/30 | best= 20769 | mean=20795.00 std= 58.54 | t= 24.1s ETA=00:09:32
[kroC100.tsp] run  7/30 | best= 20749 | mean=20788.43 std= 56.54 | t= 24.1s ETA=00:09:09
[kroC100.tsp] run  8/30 | best= 20749 | mean=20783.50 std= 54.47 | t= 25.5s ETA=00:08:49
[kroC100.tsp] run  9/30 | best= 20819 | mean=20787.44 std= 52.55 | t= 24.0s ETA=00:08:25
[kroC100.tsp] run 10/30 | best= 20819 | mean=20790.60 std= 50.74 | t= 23.9s ETA=00:08:01
[kroC100.tsp] run 11/30 | best= 20749 | mean=20786.82 std= 49.84 | t= 23.3s ETA=00:07:35
[kroC100.tsp] run 12/30 | best= 20749 | mean=20783.67 std= 48.85 | t= 17.3s ETA=00:07:01
[kroC100.tsp] run 13/30 | best= 20812 | mean=20785.85 std= 47.54 | t= 23.7s ETA=00:06:38
[kroC100.tsp] run 14/30 | best= 20749 | mean=20783.21 std= 46.78 | t= 23.4s ETA=00:06:15
[kroC100.tsp] run 15/30 | best= 20749 | mean=20780.93 std= 45.99 | t= 23.5s ETA=00:05:51
[kroC100.tsp] run 16/30 | best= 20749 | mean=20778.94 std= 45.20 | t= 24.1s ETA=00:05:28
[kroC100.tsp] run 17/30 | best= 20749 | mean=20777.18 std= 44.41 | t= 23.6s ETA=00:05:05
[kroC100.tsp] run 18/30 | best= 20749 | mean=20775.61 std= 43.64 | t= 24.8s ETA=00:04:42
[kroC100.tsp] run 19/30 | best= 20749 | mean=20774.21 std= 42.89 | t= 24.0s ETA=00:04:19
[kroC100.tsp] run 20/30 | best= 20749 | mean=20772.95 std= 42.16 | t= 23.4s ETA=00:03:55
[kroC100.tsp] run 21/30 | best= 20769 | mean=20772.76 std= 41.15 | t= 23.3s ETA=00:03:32
[kroC100.tsp] run 22/30 | best= 20749 | mean=20771.68 std= 40.51 | t= 23.3s ETA=00:03:08
[kroC100.tsp] run 23/30 | best= 20749 | mean=20770.70 std= 39.89 | t= 23.3s ETA=00:02:44
[kroC100.tsp] run 24/30 | best= 20749 | mean=20769.79 std= 39.29 | t= 23.8s ETA=00:02:21
[kroC100.tsp] run 25/30 | best= 20749 | mean=20768.96 std= 38.71 | t= 24.0s ETA=00:01:57
[kroC100.tsp] run 26/30 | best= 20749 | mean=20768.19 std= 38.15 | t= 24.8s ETA=00:01:34
[kroC100.tsp] run 27/30 | best= 20769 | mean=20768.22 std= 37.44 | t= 24.5s ETA=00:01:10
[kroC100.tsp] run 28/30 | best= 20819 | mean=20770.04 std= 37.95 | t= 24.4s ETA=00:00:47
[kroC100.tsp] run 29/30 | best= 20749 | mean=20769.31 std= 37.49 | t= 24.6s ETA=00:00:23
[kroC100.tsp] run 30/30 | best= 20749 | mean=20768.63 std= 37.04 | t= 22.3s ETA=00:00:00
>> kroC100.tsp: avg=20768.63, std=37.04

>>> kroD100.tsp (n=100) | resume from run 0/30
[kroD100.tsp] run  1/30 | best= 21389 | mean=21389.00 std=  0.00 | t= 14.1s ETA=00:06:47
[kroD100.tsp] run  2/30 | best= 21309 | mean=21349.00 std= 40.00 | t= 24.3s ETA=00:08:56
[kroD100.tsp] run  3/30 | best= 21389 | mean=21362.33 std= 37.71 | t= 24.3s ETA=00:09:24
[kroD100.tsp] run  4/30 | best= 21362 | mean=21362.25 std= 32.66 | t= 24.6s ETA=00:09:27
[kroD100.tsp] run  5/30 | best= 21294 | mean=21348.60 std= 39.98 | t= 24.4s ETA=00:09:18
[kroD100.tsp] run  6/30 | best= 21294 | mean=21339.50 std= 41.79 | t= 24.7s ETA=00:09:05
[kroD100.tsp] run  7/30 | best= 21366 | mean=21343.29 std= 39.78 | t= 24.2s ETA=00:08:47
[kroD100.tsp] run  8/30 | best= 21384 | mean=21348.38 std= 39.58 | t= 24.3s ETA=00:08:28
[kroD100.tsp] run  9/30 | best= 21309 | mean=21344.00 std= 39.31 | t= 24.4s ETA=00:08:08
[kroD100.tsp] run 10/30 | best= 21309 | mean=21340.50 std= 38.74 | t= 24.7s ETA=00:07:47
[kroD100.tsp] run 11/30 | best= 21490 | mean=21354.09 std= 56.67 | t= 24.1s ETA=00:07:25
[kroD100.tsp] run 12/30 | best= 21351 | mean=21353.83 std= 54.27 | t= 23.8s ETA=00:07:02
[kroD100.tsp] run 13/30 | best= 21362 | mean=21354.46 std= 52.18 | t= 23.9s ETA=00:06:39
[kroD100.tsp] run 14/30 | best= 21389 | mean=21356.93 std= 51.07 | t= 24.7s ETA=00:06:17
[kroD100.tsp] run 15/30 | best= 21389 | mean=21359.07 std= 49.98 | t= 24.9s ETA=00:05:55
[kroD100.tsp] run 16/30 | best= 21347 | mean=21358.31 std= 48.48 | t= 23.9s ETA=00:05:31
[kroD100.tsp] run 17/30 | best= 21309 | mean=21355.41 std= 48.44 | t= 24.5s ETA=00:05:08
[kroD100.tsp] run 18/30 | best= 21389 | mean=21357.28 std= 47.70 | t= 24.4s ETA=00:04:45
[kroD100.tsp] run 19/30 | best= 21442 | mean=21361.74 std= 50.14 | t= 23.8s ETA=00:04:21
[kroD100.tsp] run 20/30 | best= 21374 | mean=21362.35 std= 48.94 | t= 24.1s ETA=00:03:58
[kroD100.tsp] run 21/30 | best= 21389 | mean=21363.62 std= 48.10 | t= 24.6s ETA=00:03:34
[kroD100.tsp] run 22/30 | best= 21389 | mean=21364.77 std= 47.29 | t= 23.7s ETA=00:03:10
[kroD100.tsp] run 23/30 | best= 21374 | mean=21365.17 std= 46.29 | t= 23.8s ETA=00:02:46
[kroD100.tsp] run 24/30 | best= 21374 | mean=21365.54 std= 45.34 | t= 23.7s ETA=00:02:22
[kroD100.tsp] run 25/30 | best= 21374 | mean=21365.88 std= 44.46 | t= 23.8s ETA=00:01:59
[kroD100.tsp] run 26/30 | best= 21437 | mean=21368.62 std= 45.69 | t= 24.5s ETA=00:01:35
[kroD100.tsp] run 27/30 | best= 21499 | mean=21373.44 std= 51.15 | t= 24.1s ETA=00:01:11
[kroD100.tsp] run 28/30 | best= 21410 | mean=21374.75 std= 50.69 | t= 23.8s ETA=00:00:47
[kroD100.tsp] run 29/30 | best= 21294 | mean=21371.97 std= 51.94 | t= 24.6s ETA=00:00:23
[kroD100.tsp] run 30/30 | best= 21309 | mean=21369.87 std= 52.30 | t= 24.1s ETA=00:00:00
>> kroD100.tsp: avg=21369.87, std=52.30

>>> lin105.tsp (n=105) | resume from run 0/30
[lin105.tsp] run  1/30 | best= 14379 | mean=14379.00 std=  0.00 | t= 24.6s ETA=00:11:52
[lin105.tsp] run  2/30 | best= 14379 | mean=14379.00 std=  0.00 | t= 24.6s ETA=00:11:28
[lin105.tsp] run  3/30 | best= 14475 | mean=14411.00 std= 45.25 | t= 24.7s ETA=00:11:04
[lin105.tsp] run  4/30 | best= 14379 | mean=14403.00 std= 41.57 | t= 24.2s ETA=00:10:37
[lin105.tsp] run  5/30 | best= 14401 | mean=14402.60 std= 37.19 | t= 24.5s ETA=00:10:13
[lin105.tsp] run  6/30 | best= 14379 | mean=14398.67 std= 35.07 | t= 24.6s ETA=00:09:49
[lin105.tsp] run  7/30 | best= 14379 | mean=14395.86 std= 33.19 | t= 24.8s ETA=00:09:25
[lin105.tsp] run  8/30 | best= 14379 | mean=14393.75 std= 31.54 | t= 24.6s ETA=00:09:00
[lin105.tsp] run  9/30 | best= 14379 | mean=14392.11 std= 30.10 | t= 25.1s ETA=00:08:37
[lin105.tsp] run 10/30 | best= 14379 | mean=14390.80 std= 28.82 | t= 25.5s ETA=00:08:14
[lin105.tsp] run 11/30 | best= 14379 | mean=14389.73 std= 27.69 | t= 24.8s ETA=00:07:49
